Date,USD,JYP,AUD,USD / JYP Ratio,USD / AUD Ratio,JYP / AUD Ratio
2018-01-31,"3,650.70 ","737,192.70 ",861.14 ,0.00 ,4.24 ,856.06 
2018-02-28,"3,614.00 ","733,704.70 ",864.51 ,0.00 ,4.18 ,848.69 
2018-03-31,"3,667.00 ","740,661.50 ",867.95 ,0.00 ,4.22 ,853.35 
