Date,USDUR,JPYUR,AUDUR,USDJPYURRatio,USDAUDURRatio,JPYAUDURRatio
2018-01-31,4.00 ,2.40 ,5.50 ,1.67 ,1.38 ,0.44 
2018-02-28,4.10 ,2.50 ,5.60 ,1.64 ,1.37 ,0.45 
2018-03-31,4.00 ,2.50 ,5.50 ,1.60 ,1.38 ,0.45 
