Date,USDDR,JPYDR,USDJPYDRRatio,USDJPYEXClose
6/17/18,2.00%,-0.10%,-20,110.65
6/18/18,2.00%,-0.10%,-20,110.54
6/19/18,2.00%,-0.10%,-20,110.04
6/20/18,2.00%,-0.10%,-20,110.35
6/21/18,2.00%,-0.10%,-20,109.98
6/22/18,2.00%,-0.10%,-20,109.96
6/23/18,2.00%,-0.10%,-20,109.96
6/24/18,2.00%,-0.10%,-20,109.88
6/25/18,2.00%,-0.10%,-20,109.76
6/26/18,2.00%,-0.10%,-20,110.05
6/27/18,2.00%,-0.10%,-20,110.25
6/28/18,2.00%,-0.10%,-20,110.48
6/29/18,2.00%,-0.10%,-20,110.66
6/30/18,2.00%,-0.10%,-20,110.66
7/1/18,2.00%,-0.10%,-20,110.73
7/2/18,2.00%,-0.10%,-20,110.89
7/3/18,2.00%,-0.10%,-20,110.58
7/4/18,2.00%,-0.10%,-20,110.45
7/5/18,2.00%,-0.10%,-20,110.61
7/6/18,2.00%,-0.10%,-20,110.45
7/7/18,2.00%,-0.10%,-20,110.45
7/8/18,2.00%,-0.10%,-20,110.42
7/9/18,2.00%,-0.10%,-20,110.84
7/10/18,2.00%,-0.10%,-20,110.98
7/11/18,2.00%,-0.10%,-20,112
7/12/18,2.00%,-0.10%,-20,112.55
7/13/18,2.00%,-0.10%,-20,112.36
7/14/18,2.00%,-0.10%,-20,112.36
7/15/18,2.00%,-0.10%,-20,112.43
7/16/18,2.00%,-0.10%,-20,112.28
7/17/18,2.00%,-0.10%,-20,112.85
7/18/18,2.00%,-0.10%,-20,112.83
7/19/18,2.00%,-0.10%,-20,112.45
7/20/18,2.00%,-0.10%,-20,111.39
7/21/18,2.00%,-0.10%,-20,111.39
7/22/18,2.00%,-0.10%,-20,111.2
7/23/18,2.00%,-0.10%,-20,111.33
7/24/18,2.00%,-0.10%,-20,111.19
7/25/18,2.00%,-0.10%,-20,110.97
7/26/18,2.00%,-0.10%,-20,111.22
7/27/18,2.00%,-0.10%,-20,111.03
7/28/18,2.00%,-0.10%,-20,111.03
7/29/18,2.00%,-0.10%,-20,111.03
7/30/18,2.00%,-0.10%,-20,111.06
7/31/18,2.00%,-0.10%,-20,111.86
8/1/18,2.00%,-0.10%,-20,111.71
8/2/18,2.25%,-0.10%,-22.5,111.65
8/3/18,2.25%,-0.10%,-22.5,111.25
8/4/18,2.25%,-0.10%,-22.5,111.25
8/5/18,2.25%,-0.10%,-22.5,111.23
8/6/18,2.25%,-0.10%,-22.5,111.4
